Latitude,Longitude,Coordinates,Anomalies
90,-180,"90,-180",0.256
90,-90,"90,-90",0.256
90,0,"90,0",0.256
90,90,"90,90",0.256
90,180,"90,180",0.256
60,-180,"60,-180",-0.028
60,-90,"60,-90",-0.028
60,0,"60,0",-0.028
60,90,"60,90",-0.028
60,180,"60,180",-0.028
30,-180,"30,-180",0.068
30,-90,"30,-90",0.068
30,0,"30,0",0.068
30,90,"30,90",0.068
30,180,"30,180",0.068
0,-180,"0,-180",-0.079
0,-90,"0,-90",-0.079
0,0,"0,0",-0.079
0,90,"0,-90",-0.079
0,180,"0.0,180",-0.079
-30,-180,"-30,-180",-0.113
-30,-90,"-30,-90",-0.113
-30,0,"-30,0",-0.113
-30,90,"-30,90",-0.113
-30,180,"-30,180",-0.113
-60,-180,"-60,-180",-0.12
-60,-90,"-60,-90",-0.12
-60,0,"-60,0",-0.12
-60,90,"-60,90",-0.12
-60,180,"-60,180",-0.12
-90,-180,"-90,-180",-0.23
-90,-90,"-90,-90",-0.23
-90,0,"-90,0",-0.23
-90,90,"-90,90",-0.23
-90,180,"-90,180",-0.23
