Latitude,Longitude,Anomalies
90,-180,-0.124
90,-90,-0.124
90,0,-0.124
90,90,-0.124
90,180,-0.124
60,-180,-0.007
60,-90,-0.007
60,0,-0.007
60,90,-0.007
60,180,-0.007
30,-180,0.011
30,-90,0.011
30,0,0.011
30,90,0.011
30,180,0.011
0,-180,0.01
0,-90,0.01
0,0,0.01
0,90,0.01
0,180,0.01
-30,-180,-0.097
-30,-90,-0.097
-30,0,-0.097
-30,90,-0.097
-30,180,-0.097
-60,-180,-0.061
-60,-90,-0.061
-60,0,-0.061
-60,90,-0.061
-60,180,-0.061
-90,-180,-0.145
-90,-90,-0.145
-90,0,-0.145
-90,90,-0.145
-90,180,-0.145
