Latitude,Longitude,Coordinates,Anomalies
90,-180,"90,-180",-0.603
90,-90,"90,-90",-0.603
90,0,"90,0",-0.603
90,90,"90,90",-0.603
90,180,"90,180",-0.603
60,-180,"60,-180",-0.379
60,-90,"60,-90",-0.379
60,0,"60,0",-0.379
60,90,"60,90",-0.379
60,180,"60,180",-0.379
30,-180,"30,-180",-0.368
30,-90,"30,-90",-0.368
30,0,"30,0",-0.368
30,90,"30,90",-0.368
30,180,"30,180",-0.368
0,-180,"0,-180",-0.296
0,-90,"0,-90",-0.296
0,0,"0,0",-0.296
0,90,"0,-90",-0.296
0,180,"0.0,180",-0.296
-30,-180,"-30,-180",-0.236
-30,-90,"-30,-90",-0.236
-30,0,"-30,0",-0.236
-30,90,"-30,90",-0.236
-30,180,"-30,180",-0.236
-60,-180,"-60,-180",-0.289
-60,-90,"-60,-90",-0.289
-60,0,"-60,0",-0.289
-60,90,"-60,90",-0.289
-60,180,"-60,180",-0.289
-90,-180,"-90,-180",-0.581
-90,-90,"-90,-90",-0.581
-90,0,"-90,0",-0.581
-90,90,"-90,90",-0.581
-90,180,"-90,180",-0.581
