Latitude,Longitude,Coordinates,Anomalies
90,-180,"90,-180",0.613
90,-90,"90,-90",0.613
90,0,"90,0",0.613
90,90,"90,90",0.613
90,180,"90,180",0.613
60,-180,"60,-180",0.657
60,-90,"60,-90",0.657
60,0,"60,0",0.657
60,90,"60,90",0.657
60,180,"60,180",0.657
30,-180,"30,-180",0.307
30,-90,"30,-90",0.307
30,0,"30,0",0.307
30,90,"30,90",0.307
30,180,"30,180",0.307
0,-180,"0,-180",0.383
0,-90,"0,-90",0.383
0,0,"0,0",0.383
0,90,"0,-90",0.383
0,180,"0.0,180",0.383
-30,-180,"-30,-180",0.328
-30,-90,"-30,-90",0.328
-30,0,"-30,0",0.328
-30,90,"-30,90",0.328
-30,180,"-30,180",0.328
-60,-180,"-60,-180",0.29
-60,-90,"-60,-90",0.29
-60,0,"-60,0",0.29
-60,90,"-60,90",0.29
-60,180,"-60,180",0.29
-90,-180,"-90,-180",0.292
-90,-90,"-90,-90",0.292
-90,0,"-90,0",0.292
-90,90,"-90,90",0.292
-90,180,"-90,180",0.292
