Latitude,Longitude,Anomalies
90,-180,-0.136
90,-90,-0.136
90,0,-0.136
90,90,-0.136
90,180,-0.136
60,-180,0.002
60,-90,0.002
60,0,0.002
60,90,0.002
60,180,0.002
30,-180,-0.078
30,-90,-0.078
30,0,-0.078
30,90,-0.078
30,180,-0.078
0,-180,0.011
0,-90,0.011
0,0,0.011
0,90,0.011
0,180,0.011
-30,-180,0.167
-30,-90,0.167
-30,0,0.167
-30,90,0.167
-30,180,0.167
-60,-180,0.129
-60,-90,0.129
-60,0,0.129
-60,90,0.129
-60,180,0.129
-90,-180,0.231
-90,-90,0.231
-90,0,0.231
-90,90,0.231
-90,180,0.231
