Latitude,Longitude,Coordinates,Anomalies
90,-180,"90,-180",0.633
90,-90,"90,-90",0.633
90,0,"90,0",0.633
90,90,"90,90",0.633
90,180,"90,180",0.633
60,-180,"60,-180",0.081
60,-90,"60,-90",0.081
60,0,"60,0",0.081
60,90,"60,90",0.081
60,180,"60,180",0.081
30,-180,"30,-180",-0.102
30,-90,"30,-90",-0.102
30,0,"30,0",-0.102
30,90,"30,90",-0.102
30,180,"30,180",-0.102
0,-180,"0,-180",-0.148
0,-90,"0,-90",-0.148
0,0,"0,0",-0.148
0,90,"0,-90",-0.148
0,180,"0.0,180",-0.148
-30,-180,"-30,-180",-0.217
-30,-90,"-30,-90",-0.217
-30,0,"-30,0",-0.217
-30,90,"-30,90",-0.217
-30,180,"-30,180",-0.217
-60,-180,"-60,-180",-0.356
-60,-90,"-60,-90",-0.356
-60,0,"-60,0",-0.356
-60,90,"-60,90",-0.356
-60,180,"-60,180",-0.356
-90,-180,"-90,-180",-0.951
-90,-90,"-90,-90",-0.951
-90,0,"-90,0",-0.951
-90,90,"-90,90",-0.951
-90,180,"-90,180",-0.951
