Latitude,Longitude,Anomalies
90,-180,-0.501
90,-90,-0.501
90,0,-0.501
90,90,-0.501
90,180,-0.501
60,-180,-0.374
60,-90,-0.374
60,0,-0.374
60,90,-0.374
60,180,-0.374
30,-180,-0.414
30,-90,-0.414
30,0,-0.414
30,90,-0.414
30,180,-0.414
0,-180,-0.201
0,-90,-0.201
0,0,-0.201
0,90,-0.201
0,180,-0.201
-30,-180,-0.297
-30,-90,-0.297
-30,0,-0.297
-30,90,-0.297
-30,180,-0.297
-60,-180,-0.391
-60,-90,-0.391
-60,0,-0.391
-60,90,-0.391
-60,180,-0.391
-90,-180,-0.351
-90,-90,-0.351
-90,0,-0.351
-90,90,-0.351
-90,180,-0.351
