Latitude,Longitude,Anomalies
90,-180,0.633
90,-90,0.633
90,0,0.633
90,90,0.633
90,180,0.633
60,-180,0.082
60,-90,0.082
60,0,0.082
60,90,0.082
60,180,0.082
30,-180,0.054
30,-90,0.054
30,0,0.054
30,90,0.054
30,180,0.054
0,-180,0.063
0,-90,0.063
0,0,0.063
0,90,0.063
0,180,0.063
-30,-180,-0.034
-30,-90,-0.034
-30,0,-0.034
-30,90,-0.034
-30,180,-0.034
-60,-180,-0.116
-60,-90,-0.116
-60,0,-0.116
-60,90,-0.116
-60,180,-0.116
-90,-180,-0.656
-90,-90,-0.656
-90,0,-0.656
-90,90,-0.656
-90,180,-0.656
